"Date","Year","Month","Fraction","Depth","Monitoring.Location.ID","Result.Unit","Nitrogen","Phosphate-phosphorus","NP_mass","NP_mol"
1991-01-22,1991,1,"Total","Surface",4917700,"mg/l",NA,0.05,NA,NA
1991-01-22,1991,1,"Total","Surface",4917710,"mg/l",NA,0.15,NA,NA
1991-01-22,1991,1,"Total","Surface",4917770,"mg/l",NA,0.84,NA,NA
1991-04-04,1991,4,"Dissolved","Bottom",4917310,"mg/l",NA,0.022,NA,NA
1991-04-04,1991,4,"Dissolved","Bottom",4917320,"mg/l",NA,0.03,NA,NA
1991-04-04,1991,4,"Dissolved","Bottom",4917370,"mg/l",NA,0.02,NA,NA
1991-04-04,1991,4,"Dissolved","Bottom",4917620,"mg/l",NA,0.021,NA,NA
1991-04-04,1991,4,"Dissolved","Bottom",4917770,"mg/l",NA,0.021,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917310,"mg/l",NA,0.025,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917320,"mg/l",NA,0.026,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917330,"mg/l",NA,0.027,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917340,"mg/l",NA,0.029,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917370,"mg/l",NA,0.027,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917380,"mg/l",NA,0.027,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917390,"mg/l",NA,0.025,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917400,"mg/l",NA,0.023,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917410,"mg/l",NA,0.024,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917420,"mg/l",NA,0.034,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917500,"mg/l",NA,0.023,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917510,"mg/l",NA,0.022,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917520,"mg/l",NA,0.025,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917620,"mg/l",NA,0.026,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917700,"mg/l",NA,0.032,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917710,"mg/l",NA,0.029,NA,NA
1991-04-04,1991,4,"Dissolved","Surface",4917770,"mg/l",NA,0.032,NA,NA
1991-04-04,1991,4,"Total","Bottom",4917310,"mg/l",NA,0.094,NA,NA
1991-04-04,1991,4,"Total","Bottom",4917320,"mg/l",NA,0.101,NA,NA
1991-04-04,1991,4,"Total","Bottom",4917370,"mg/l",NA,0.065,NA,NA
1991-04-04,1991,4,"Total","Bottom",4917620,"mg/l",NA,0.102,NA,NA
1991-04-04,1991,4,"Total","Bottom",4917770,"mg/l",NA,0.144,NA,NA
1991-04-04,1991,4,"Total","Surface",4917310,"mg/l",NA,0.072,NA,NA
1991-04-04,1991,4,"Total","Surface",4917320,"mg/l",NA,0.066,NA,NA
1991-04-04,1991,4,"Total","Surface",4917330,"mg/l",NA,0.052,NA,NA
1991-04-04,1991,4,"Total","Surface",4917340,"mg/l",NA,0.054,NA,NA
1991-04-04,1991,4,"Total","Surface",4917370,"mg/l",NA,0.059,NA,NA
1991-04-04,1991,4,"Total","Surface",4917380,"mg/l",NA,0.062,NA,NA
1991-04-04,1991,4,"Total","Surface",4917390,"mg/l",NA,0.053,NA,NA
1991-04-04,1991,4,"Total","Surface",4917400,"mg/l",NA,0.053,NA,NA
1991-04-04,1991,4,"Total","Surface",4917410,"mg/l",NA,0.061,NA,NA
1991-04-04,1991,4,"Total","Surface",4917420,"mg/l",NA,0.053,NA,NA
1991-04-04,1991,4,"Total","Surface",4917500,"mg/l",NA,0.059,NA,NA
1991-04-04,1991,4,"Total","Surface",4917510,"mg/l",NA,0.065,NA,NA
1991-04-04,1991,4,"Total","Surface",4917520,"mg/l",NA,0.063,NA,NA
1991-04-04,1991,4,"Total","Surface",4917620,"mg/l",NA,0.088,NA,NA
1991-04-04,1991,4,"Total","Surface",4917700,"mg/l",NA,0.078,NA,NA
1991-04-04,1991,4,"Total","Surface",4917710,"mg/l",NA,0.06,NA,NA
1991-04-04,1991,4,"Total","Surface",4917770,"mg/l",NA,0.122,NA,NA
1991-05-07,1991,5,"Dissolved","Bottom",4917310,"mg/l",NA,0.029,NA,NA
1991-05-07,1991,5,"Dissolved","Bottom",4917320,"mg/l",NA,0.021,NA,NA
1991-05-07,1991,5,"Dissolved","Bottom",4917370,"mg/l",NA,0.015,NA,NA
1991-05-07,1991,5,"Dissolved","Bottom",4917620,"mg/l",NA,0.019,NA,NA
1991-05-07,1991,5,"Dissolved","Bottom",4917770,"mg/l",NA,0.023,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917310,"mg/l",NA,0.048,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917320,"mg/l",NA,0.025,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917330,"mg/l",NA,0.015,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917340,"mg/l",NA,0.068,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917370,"mg/l",NA,0.017,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917380,"mg/l",NA,0.023,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917390,"mg/l",NA,0.015,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917400,"mg/l",NA,0.034,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917410,"mg/l",NA,0.016,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917420,"mg/l",NA,0.015,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917500,"mg/l",NA,0.012,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917510,"mg/l",NA,0.016,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917520,"mg/l",NA,0.019,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917620,"mg/l",NA,0.036,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917700,"mg/l",NA,0.018,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917710,"mg/l",NA,0.016,NA,NA
1991-05-07,1991,5,"Dissolved","Surface",4917770,"mg/l",NA,0.021,NA,NA
1991-05-07,1991,5,"Total","Bottom",4917310,"mg/l",NA,0.082,NA,NA
1991-05-07,1991,5,"Total","Bottom",4917320,"mg/l",NA,0.089,NA,NA
1991-05-07,1991,5,"Total","Bottom",4917370,"mg/l",NA,0.052,NA,NA
1991-05-07,1991,5,"Total","Bottom",4917620,"mg/l",NA,0.083,NA,NA
1991-05-07,1991,5,"Total","Bottom",4917770,"mg/l",NA,0.086,NA,NA
1991-05-07,1991,5,"Total","Surface",4917310,"mg/l",NA,0.07,NA,NA
1991-05-07,1991,5,"Total","Surface",4917320,"mg/l",NA,0.068,NA,NA
1991-05-07,1991,5,"Total","Surface",4917330,"mg/l",NA,0.047,NA,NA
1991-05-07,1991,5,"Total","Surface",4917340,"mg/l",NA,0.048,NA,NA
1991-05-07,1991,5,"Total","Surface",4917370,"mg/l",NA,0.073,NA,NA
1991-05-07,1991,5,"Total","Surface",4917380,"mg/l",NA,0.063,NA,NA
1991-05-07,1991,5,"Total","Surface",4917390,"mg/l",NA,0.045,NA,NA
1991-05-07,1991,5,"Total","Surface",4917400,"mg/l",NA,0.082,NA,NA
1991-05-07,1991,5,"Total","Surface",4917410,"mg/l",NA,0.056,NA,NA
1991-05-07,1991,5,"Total","Surface",4917420,"mg/l",NA,0.05,NA,NA
1991-05-07,1991,5,"Total","Surface",4917500,"mg/l",NA,0.06,NA,NA
1991-05-07,1991,5,"Total","Surface",4917510,"mg/l",NA,0.057,NA,NA
1991-05-07,1991,5,"Total","Surface",4917520,"mg/l",NA,0.074,NA,NA
1991-05-07,1991,5,"Total","Surface",4917620,"mg/l",NA,0.064,NA,NA
1991-05-07,1991,5,"Total","Surface",4917700,"mg/l",NA,0.055,NA,NA
1991-05-07,1991,5,"Total","Surface",4917710,"mg/l",NA,0.041,NA,NA
1991-05-07,1991,5,"Total","Surface",4917770,"mg/l",NA,0.074,NA,NA
1991-05-23,1991,5,"Dissolved","Bottom",4917310,"mg/l",NA,0.018,NA,NA
1991-05-23,1991,5,"Dissolved","Bottom",4917320,"mg/l",NA,0.01,NA,NA
1991-05-23,1991,5,"Dissolved","Bottom",4917370,"mg/l",NA,0.028,NA,NA
1991-05-23,1991,5,"Dissolved","Bottom",4917620,"mg/l",NA,0.022,NA,NA
1991-05-23,1991,5,"Dissolved","Bottom",4917770,"mg/l",NA,0.023,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917310,"mg/l",NA,0.025,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917320,"mg/l",NA,0.024,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917330,"mg/l",NA,0.031,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917340,"mg/l",NA,0.045,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917370,"mg/l",NA,0.042,NA,NA
1991-05-23,1991,5,"Dissolved","Surface",4917380,"mg/l",NA,0.024,NA,NA
