UID,PTL,Total_phosphorus_mgL,Total_nitrogen_mgL,Chlorophyll_a_ugL,Secchi_m,TNTP_mol,Comment,TSIchl,TSItp,TSIsd
6192,38,0.038,0.483,1.3,1.55,28.10707918,,33.1737934344261,55.8037234681147,53.6847464452821
6194,23,0.023,0.189,6.353333333,2.3,18.17130639,,48.7384899692488,48.6740178661939,47.9977795385052
6195,57,0.057,0.278,8.586666667,1.85,10.78504902,,51.6935661096733,61.5613280032506,51.1351749407097
6212,147,0.147,1.249,10.36,0.225,18.78872399,,53.5353114433154,75.0141427322581,81.4947467743669
6216,15,0.015,0.156,3.586666667,,22.9977592,Secchi = 0 set to NA,43.1295602410146,42.6043128556514,
6217,147,0.147,1.9,3.28,2.55,28.58172585,,42.2527439737053,75.0141427322581,46.5108946943555
6218,7,0.007,0.26,1.952,5.35,82.13485429,,37.1614625271907,31.7819241165854,35.8330385573169
6222,43,0.043,1.511,23.52,0.475,77.7048617,,61.5785195169285,57.5590416428486,70.7273872439934
6226,32,0.032,0.323,3.568,2.345,22.32054153,,43.0783711563813,53.3634498197561,47.7185673586463
6227,80,0.08,0.44,6,2.25,12.1622765,,48.1771603931272,66.3747782123691,48.3144955843227
6228,9,0.009,0.546,2.3776,5.7,134.1535953,,39.0963583560602,35.3505889981743,34.9198824205483
6231,23,0.023,0.494,11.22666667,1.575,47.49537226,,54.3234435488387,48.6740178661939,53.4541815264798
6232,46,0.046,0.519,3.144,0.725,24.94949211,,41.8373145295019,58.5167078301452,64.6340200236767
6233,25,0.025,0.82,16.32,0.75,72.5313944,,57.9933591389478,49.8580367131284,64.1454986640302
6235,434,0.434,2.38,111,0.805,12.12661,,76.800491274874,90.3872323842258,63.1257163525311
6236,67,0.067,1.05,15.6,0.135,34.65506194,,57.5507276688464,63.8566351953517,88.8557440128348
6237,36,0.036,0.92,13.68,1.5,56.51158778,,56.2623214886271,55.0359689260768,54.1572477921614
6243,46,0.046,0.588,15.408,0.775,28.26647661,,57.4292400480971,58.5167078301452,63.6729973171509
6249,28,0.028,0.594,11.77142857,0.85,46.91163793,,54.7882745727172,51.4673040444879,62.3418977740629
6250,591,0.591,3.83,176,0.31,14.33057037,,81.3224479913243,94.7717874471666,76.8767467634575
6251,20,0.02,0.761,4.184615385,1.5,84.14084015,,44.6421791535892,46.6893982844667,54.1572477921614
6252,83,0.083,2.08,42.29,0.85,55.41628723,,67.334041891062,66.8975366307117,62.3418977740629
6253,24,0.024,0.37,3.08,1.83,34.09122958,,41.6355593464276,49.2783643909408,51.2918069176435
6267,106,0.106,1.85,144.8,0.425,38.59384481,,79.4082176383254,70.3708351363914,72.3301486459318
6270,190,0.19,1.71,0.65,0.605,19.901907,,26.374019593133,78.6577418246789,67.2414114899082
