Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MI EAST OF PELICAN POINT,4917370,40.26828256,-111.8299304,9/12/2006,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,21,1,50.8,58.8,59,2288966
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MI EAST OF PELICAN POINT,4917370,40.26828256,-111.8299304,9/12/2006,Total Plankton Sample,,Surface,Water column,Closteriopsis,Closteriopsis longissima var. tropica,Chlorophyta,1,4,0.1,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MI EAST OF PELICAN POINT,4917370,40.26828256,-111.8299304,9/12/2006,Total Plankton Sample,,Surface,Water column,Closterum,Closterum species,Chlorophyta,1,3,1.9,2.8,3,84000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MI EAST OF PELICAN POINT,4917370,40.26828256,-111.8299304,9/12/2006,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,1,5,0,2.8,3,2240
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Dolichospermum,Dolichospermum flosaquae,Cyanophyta,1202,1,99.6,3365.6,124527,127892800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Beggiatoa,Beggiatoa species,,1,8,0,2.8,34,1680
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,1,3,0.1,2.8,3,108998.4
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Closteriopsis,Closteriopsis longissima var. tropica,Chlorophyta,4,6,0,11.2,11,11200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Closterum,Closterum species,Chlorophyta,4,2,0.3,11.2,11,336000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/12/2006,Total Plankton Sample,,Surface,Water column,Oocystis,Oocystis gigas,Chlorophyta,1,5,0,2.8,3,16800
