Activity Relative Depth,Characteristic Name,Sample Fraction,Parameter,Fraction,Depth
Surface,NO2-N,,NO2-N,,Surface
Surface,NO3-N,,NO3-N,,Surface
,NO3-N,,NO3-N,,
Surface,o-PO4-P,,o-PO4-P,,Surface
,o-PO4-P,,o-PO4-P,,
Surface,Organic carbon,Total,Organic carbon,Total,Surface
,Organic carbon,Total,Organic carbon,Total,
Bottom,Organic carbon,Total,Organic carbon,Total,Bottom
,Organic Nitrogen,Dissolved,Organic Nitrogen,Dissolved,
Surface,Orthophosphate,Total,Orthophosphate,Total,Surface
Surface,Orthophosphate,Dissolved,Orthophosphate,Dissolved,Surface
Bottom,Orthophosphate,Dissolved,Orthophosphate,Dissolved,Bottom
Surface,"p,p'-DDD",Total,"p,p'-DDD",Total,Surface
Bottom,"p,p'-DDD",Total,"p,p'-DDD",Total,Bottom
,"p,p'-DDD",Total,"p,p'-DDD",Total,
Surface,"p,p'-DDE",Total,"p,p'-DDE",Total,Surface
Bottom,"p,p'-DDE",Total,"p,p'-DDE",Total,Bottom
,"p,p'-DDE",Total,"p,p'-DDE",Total,
Surface,"p,p'-DDT",Total,"p,p'-DDT",Total,Surface
Bottom,"p,p'-DDT",Total,"p,p'-DDT",Total,Bottom
,"p,p'-DDT",Total,"p,p'-DDT",Total,
Surface,pH,Total,pH,N/A,Surface
,pH,Total,pH,N/A,
Bottom,pH,Total,pH,N/A,Bottom
Surface,pH,,pH,N/A,Surface
,pH,,pH,N/A,
Bottom,pH,,pH,N/A,Bottom
Surface,Phosphate-phosphorus,Total,Phosphate-phosphorus,Total,Surface
Bottom,Phosphate-phosphorus,Total,Phosphate-phosphorus,Total,Bottom
Surface,Phosphate-phosphorus,Dissolved,Phosphate-phosphorus,Dissolved,Surface
Bottom,Phosphate-phosphorus,Dissolved,Phosphate-phosphorus,Dissolved,Bottom
,Phosphate-phosphorus,Total,Phosphate-phosphorus,Total,
,Phosphate-phosphorus,Dissolved,Phosphate-phosphorus,Dissolved,
Surface,PO4-P,,PO4-P,,Surface
,PO4-P,,PO4-P,,
Surface,PO4-P Dis,,PO4-P Dis,,Surface
,PO4-P Dis,,PO4-P Dis,,
Surface,Potassium,Dissolved,Potassium,Dissolved,Surface
Bottom,Potassium,Dissolved,Potassium,Dissolved,Bottom
,Potassium,Dissolved,Potassium,Dissolved,
Surface,Salinity,Total,Salinity,Total,Surface
Bottom,Salinity,Total,Salinity,Total,Bottom
,Salinity,Total,Salinity,Total,
Surface,SCBOD,,SCBOD,,Surface
,SCBOD,,SCBOD,,
Surface,Selenium,Dissolved,Selenium,Dissolved,Surface
Surface,Selenium,Acid Soluble,Selenium,Total,Surface
Bottom,Selenium,Acid Soluble,Selenium,Total,Bottom
Bottom,Selenium,Dissolved,Selenium,Dissolved,Bottom
,Selenium,Dissolved,Selenium,Dissolved,
Surface,Settleable solids,,Settleable solids,Total,Surface
Bottom,Settleable solids,,Settleable solids,Total,Bottom
Surface,Silica,Dissolved,Silica,Dissolved,Surface
Surface,Silver,Acid Soluble,Silver,Total,Surface
Bottom,Silver,Acid Soluble,Silver,Total,Bottom
Bottom,Silver,Dissolved,Silver,Dissolved,Bottom
Surface,Silver,Dissolved,Silver,Dissolved,Surface
,Silver,Dissolved,Silver,Dissolved,
Surface,Silvex,Total,Silvex,Total,Surface
Bottom,Silvex,Total,Silvex,Total,Bottom
Surface,Sodium,Dissolved,Sodium,Dissolved,Surface
Bottom,Sodium,Dissolved,Sodium,Dissolved,Bottom
,Sodium,Dissolved,Sodium,Dissolved,
Surface,Specific conductance,Total,Specific conductance,Total,Surface
Bottom,Specific conductance,Total,Specific conductance,Total,Bottom
Surface,Specific conductance,,Specific conductance,N/A,Surface
Bottom,Specific conductance,,Specific conductance,N/A,Bottom
,Specific conductance,,Specific conductance,N/A,
Surface,Sulfate,Dissolved,Sulfate,Dissolved,Surface
Bottom,Sulfate,Dissolved,Sulfate,Dissolved,Bottom
,Sulfate,Dissolved,Sulfate,Dissolved,
Surface,Sulfate,Total,Sulfate,Total,Surface
Bottom,Sum of anions,Total,Sum of anions,Total,Bottom
Surface,Sum of anions,Total,Sum of anions,Total,Surface
Bottom,Sum of cations,Total,Sum of cations,Total,Bottom
Surface,Sum of cations,Total,Sum of cations,Total,Surface
Surface,TDS,,Total Dissolved Solids,Dissolved,Surface
,TDS,,Total Dissolved Solids,Dissolved,
Surface,"Temperature, water",,"Temperature, water",N/A,Surface
Bottom,"Temperature, water",,"Temperature, water",N/A,Bottom
,"Temperature, water",,"Temperature, water",N/A,
Surface,TKN,,TKN,,Surface
,TKN,,TKN,,
Surface,Total - N,,Total - N,,Surface
,Total - N,,Total - N,,
