MonitoringLocationIdentifier,Date,Chlorophyll a,"Depth, Secchi disk depth",Phosphate-phosphorus,TSIchl,TSItp,TSIsd,Year,Month,Monitoring.Location.ID,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude
UTAHDWQ_WQX-4917330,1991-07-31,45.9,0.8,0.039,68.1376227984224,56.172575375041,63.2154985744378,1991,7,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-08-28,92,,0.055,74.9587459408511,61.0541312303011,,1991,8,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917340,1990-08-14,21.6,0.125,,60.7431214171101,,89.9647526156064,1990,8,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1990-09-12,24.7,0.1,,62.0587398200489,,93.1802511900442,1990,9,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1990-10-02,27.5,0.1,0.36,63.1121647058375,87.7326772465922,93.1802511900442,1990,10,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1990-10-18,25.6,0.2,0.17,62.4098309680729,77.0783378061137,83.1920003181754,1990,10,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1990-11-16,19.9,0.3,0.05,59.9389605682757,59.7007266770797,77.3492481103367,1990,11,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-01-22,75.4,0.6,0.08,73.0067393678865,66.3747782123691,67.3609972384679,1991,1,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-04-04,10.9,,0.054,54.0337629623963,60.7935734612127,,1991,4,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-05-07,22.8,0.24,0.048,61.2735208577715,59.1210543548921,80.5647466847745,1991,5,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-05-23,7.2,0.3,0.084,49.9657348652759,67.0675985435751,77.3492481103367,1991,5,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-06-05,10.4,,0.063,53.5731149583053,62.9825131147598,,1991,6,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-06-19,19.4,,0.071,59.6893287781397,64.6800542539867,,1991,6,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-07-10,16.9,0.9,0.066,58.3359466311238,63.6430973367752,61.5182450306293,1991,7,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-07-31,42.7,0.8,0.058,67.4286914075012,61.8082907497591,63.2154985744378,1991,7,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1991-08-28,51,,0.085,69.1712094570256,67.2356478421625,,1991,8,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
UTAHDWQ_WQX-4917340,1994-07-15,,,0.07,,64.4786324371009,,1994,7,4917340,UTAH LAKE W OF PROVO BOAT HARBOR/6 MI N OF LINCOLN BEACH #08,0,40.23161835,-111.8052091
