"SiteCode","SiteName","date","month","Turbidity.ntu","temp.C","windspeed.m.s","winddir.deg","winddir.deg.180","fetch","Latitude","Longitude","depth","rho","v","waveheight","waveperiod","wavelength","tau.wind"
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-01,5,NA,NA,2.4875,135.773298488896,315.773298488896,26761.4003906,40.23717289,-111.7646472,3.1,NA,NA,0.153880286285422,1.73566146777204,4.7006867152615,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-02,5,NA,NA,3.1125,170.331912472135,350.331912472135,20749.8007813,40.23717289,-111.7646472,3.1,NA,NA,0.1990360997008,2.04904494624525,6.53590941682229,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-03,5,NA,NA,2.49166666666667,186.040225632506,6.04022563250561,16317.0996094,40.23717289,-111.7646472,3.1,NA,NA,0.141401277074155,1.73792100297571,4.71290779553467,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-04,5,NA,NA,2.475,171.21037398132,351.21037398132,20762.5996094,40.23717289,-111.7646472,3.1,NA,NA,0.146766144458022,1.72885200124196,4.6639494212106,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-05,5,7.42869791666667,15.9869791666667,1.52916666666667,195.735583790781,15.7355837907811,15659.9003906,40.23717289,-111.7646472,3.1,998.941845179563,0.00000110855385783064,0.0625050709666209,1.14603458795318,2.04991689556882,0.0001
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-06,5,17.1333854166667,15.9408333333333,3.63333333333333,288.600637292515,108.600637292515,10822.9003906,40.23717289,-111.7646472,3.1,998.94931647303,0.00000110985904814619,0.194450651182555,2.27302029014364,7.99984966232823,0.083
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-07,5,21.62453125,16.3910416666667,7.71666666666667,342.545513720528,162.545513720528,20791,40.23717289,-111.7646472,3.1,998.875376491309,0.0000010972261078343,0.366981296492955,3.37843351055925,15.914838718715,0.3135
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-08,5,20.500625,16.5309375,4.35,154.763384141777,334.763384141777,22221.5,40.23717289,-111.7646472,3.1,998.851926886444,0.0000010933459134905,0.277034856918716,2.54015578618217,9.86246072803907,0.1593
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-09,5,15.5457291666667,16.9277083333333,3.20416666666667,154.477390567011,334.477390567011,22589.3007813,40.23717289,-111.7646472,3.1,998.784206596967,0.00000108245590696564,0.209499129598512,2.09085409904328,6.80062119063113,0.0649
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-10,5,13.1503125,17.6508333333333,3.82916666666667,130.400537203455,310.400537203455,23440.3007813,40.23717289,-111.7646472,3.1,998.656216624731,0.00000106303667880989,0.252927551567601,2.35137660390411,8.53549528313079,0.1173
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-11,5,12.7369791666667,17.0575,2.4375,219.002332294344,39.0023322943441,25919.0996094,40.23717289,-111.7646472,3.1,998.761666670486,0.00000107893005377074,0.148497493381431,1.7082919202197,4.55387554481125,0.0151
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-12,5,11.4097916666667,17.8647916666667,5.19583333333333,334.467843574539,154.467843574539,22596.9003906,40.23717289,-111.7646472,3.1,998.61722750207,0.00000105739456837948,0.312616921986467,2.80349504910062,11.7649608374148,0.2135
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-13,5,14.82375,17.553125,6.4875,127.1434049156,307.1434049156,21478.9003906,40.23717289,-111.7646472,3.1,998.673852572354,0.00000106562884076558,0.34497668767723,3.12894093471404,14.1297690261313,0.2723
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-14,5,13.3682291666667,16.0766666666667,2.95416666666667,158.666819954531,338.666819954531,20791.0996094,40.23717289,-111.7646472,3.1,998.927253834726,0.00000110602391767476,0.18699557041105,1.97445193284236,6.07454854579519,0.0452
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-15,5,14.18875,14.9947916666667,3.2125,193.05194780231,13.0519478023099,15897.5996094,40.23717289,-111.7646472,3.1,999.09701701477,0.00000113714933124584,0.193555892693715,2.09454330419288,6.82418186688484,0.0619
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-16,5,11.2313541666667,15.5588541666667,3.525,135.687899156302,315.687899156302,26771.3007813,40.23717289,-111.7646472,3.1,999.010212547298,0.00000112075482979289,0.240241932363911,2.22968891774438,7.70836520346808,0.0967
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-17,5,13.9579166666667,14.7305208333333,5.0125,151.246876795071,331.246876795071,25146.0996094,40.23717289,-111.7646472,3.1,999.136394073512,0.00000114495804121765,0.314579050205356,2.75046778778268,11.3793319317178,0.2167
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-18,5,10.9313020833333,13.6952083333333,3.62916666666667,165.364821836792,345.364821836792,20043.4003906,40.23717289,-111.7646472,3.1,999.28259967274,0.00000117635976573823,0.232083754781272,2.27235799745185,7.99536793242231,0.102
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-19,5,10.8271875,13.5214583333333,2.875,158.516960974699,338.516960974699,20846.4003906,40.23717289,-111.7646472,3.1,999.305863443335,0.00000118175946196459,0.180793223929237,1.93598100395838,5.84233163501208,0.041
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-20,5,8.73520833333333,13.229375,2.45833333333333,209.874549618613,29.8745496186132,28904.5996094,40.23717289,-111.7646472,3.1,999.34413674838,0.00000119092288296483,0.152648601311083,1.71973965022125,4.61500652126074,0.0171
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-21,5,13.7734375,14.579375,2.95833333333333,220.222510612851,40.2225106128514,25390.3007813,40.23717289,-111.7646472,3.1,999.158541758044,0.00000114946135363762,0.194581536844739,1.97645959979985,6.08677626944482,0.0482
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-22,5,11.1890625,14.5116666666667,2.575,174.224542867516,354.224542867516,21060.6992188,40.23717289,-111.7646472,3.1,999.168374717265,0.00000115148754913271,0.155917577055094,1.78269954502305,4.95825059780476,0.0218
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-05-23,5,9.70171875,15.6551041666667,2.30833333333333,165.852107438658,345.852107438658,20076.5,40.23717289,-111.7646472,3.1,998.995028085923,0.00000111799380578784,0.131182925562929,1.63590594555749,4.1765607071876,0.0098
